position,player,bye,points_year,points_week,vorp,max_bid,tier
TE,Ricky Seals-Jones,10,22.36,1.3975,-6.396249999999999,1,7
TE,Dalton Schultz,10,21.599999999999998,1.3499999999999999,-6.44375,1,7
TE,Tyler Kroft,11,21.48,1.3425,-6.451249999999999,1,7
TE,Drew Sample,9,21.21,1.325625,-6.468124999999999,1,7
TE,Virgil Green,10,19.33,1.208125,-6.585624999999999,1,8
TE,Foster Moreau,6,18.07,1.129375,-6.664375,1,8
TE,Demetrius Harris,11,17.509999999999998,1.0943749999999999,-6.699375,1,8
TE,Albert Okwuegbunam,8,17.4,1.0875,-6.706249999999999,1,8
TE,James O’Shaughnessy,7,17.29,1.080625,-6.713125,1,8
TE,Durham Smythe,11,16.45,1.028125,-6.765624999999999,1,8
TE,Chris Manhertz,13,12.840000000000002,0.8025000000000001,-6.991249999999999,1,8
TE,Ross Dwelley,11,11.66,0.72875,-7.0649999999999995,1,8
TE,Trevon Wesco,11,8.61,0.538125,-7.255624999999999,1,8
